Week_Start_Date,Ratio,Gas_Price,TNP_Trips,Transit_Ridership,Bus_Rides,Rail_Boardings,Time,Quarter,Cases,Lockdown,Population,Unemployment_Rate,No_Vehicle_Pct,Weekly_Inc,ln_Ratio,ln_TNP_Trips,ln_Transit_Ridership,ln_Bus_Rides,ln_Rail_Boardings,February,March,April,May,June,July,August,September,October,November,December,Spring,Summer,Fall,Year_2019,Year_2020,Year_2021,Month,Season,Year
2019-07-22,5.825947853488157,3.093,248799,1449490.0,733191.0,716299.0,37.0,3,0.0,0,9485403,4.1,27.8,1259.72788309452,1.762321707842904,12.42440062054648,14.186722328389385,13.505161519913266,13.481852956538466,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,7,3,2019
2019-07-29,5.460658776557821,3.072,245455,1340346.0,677033.0,663313.0,38.0,3,0.0,0,9485403,4.1,27.8,1259.72788309452,1.6975694375257988,12.410868910026323,14.108438347552124,13.425475295167296,13.405002254296413,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,7,3,2019
2019-08-05,5.3455180210868996,2.961,271543,1451538.0,727517.0,724021.0,39.0,3,0.0,0,9485403,3.8,27.8,1259.72788309452,1.6762584567288346,12.511875785189288,14.188134241918123,13.49739264545236,13.492575676472063,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,8,3,2019
2019-08-12,5.172356486083499,2.78,257536,1332068.0,672626.0,659442.0,40.0,3,0.0,0,9485403,3.8,27.8,1259.72788309452,1.643328384691215,12.458914795139247,14.102243179830461,13.418944733503123,13.39914930185889,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,8,3,2019
2019-08-19,5.540305884736149,2.765,246825,1367486.0,697759.0,669727.0,41.0,3,0.0,0,9485403,3.8,27.8,1259.72788309452,1.7120497130862544,12.416434862479651,14.128484575565905,13.455629049918034,13.414625445645104,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,8,3,2019
2019-08-26,5.552623910245513,2.801,247074,1371909.0,693566.0,678343.0,42.0,3,0.0,0,9485403,3.8,27.8,1259.72788309452,1.714270592655502,12.417443165882151,14.131713758537654,13.449601683639125,13.427408338703435,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,8,3,2019
2019-09-02,3.1427722444894255,2.756,223797,703343.0,374967.0,328376.0,43.0,3,0.0,0,9485403,3.4,27.8,1259.72788309452,1.1451052908211408,12.318494669944378,13.46359996076552,12.834593301080321,12.701914572282025,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,9,4,2019
2019-09-09,6.58311549679339,2.673,237946,1566426.0,829266.0,737160.0,44.0,3,0.0,0,9485403,3.4,27.8,1259.72788309452,1.8845081130368901,12.379799036153708,14.264307149190598,13.628296251166423,13.510560243945973,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,9,4,2019
2019-09-16,6.342081218876447,2.744,252823,1603424.0,825739.0,777685.0,45.0,3,0.0,0,9485403,3.4,27.8,1259.72788309452,1.8472069825425805,12.440444918128977,14.287651900671557,13.624034021941178,13.564076836853976,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,9,4,2019
2019-09-23,6.373066532788257,2.863,250974,1599474.0,832762.0,766712.0,46.0,3,0.0,0,9485403,3.4,27.8,1259.72788309452,1.8520807560686963,12.433104627091186,14.285185383159883,13.632503166039163,13.549866520917917,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,9,4,2019
2019-09-30,6.547890319708486,2.728,242596,1588492.0,850333.0,738159.0,47.0,3,0.0,0,9485403,3.4,27.8,1259.72788309452,1.8791429091713645,12.39915278730999,14.278295696481356,13.653383316452626,13.511914527531676,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,9,4,2019
2019-10-07,6.723906008042228,2.809,236999,1593559.0,845146.0,748413.0,48.0,4,0.0,0,9485403,3.4,27.8,1253.9109447502099,1.905669236870772,12.375811200699085,14.281480437569856,13.647264672479471,13.525710243621374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,10,4,2019
2019-10-14,5.231001816467775,2.816,260946,1365009.0,666607.0,698402.0,49.0,4,0.0,0,9485403,3.4,27.8,1253.9109447502099,1.6546028116389921,12.472068768347063,14.126671579986054,13.409955945850745,13.45655014719186,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,10,4,2019
2019-10-21,5.51740870585757,2.715,265844,1466770.0,739027.0,727743.0,50.0,4,0.0,0,9485403,3.4,27.8,1253.9109447502099,1.707908312724155,12.490664949559875,14.198573262284029,13.51308973512219,13.497703242873873,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,10,4,2019
2019-10-28,5.934164642074666,2.67,251491,1492389.0,762580.0,729809.0,51.0,4,0.0,0,9485403,3.4,27.8,1253.9109447502099,1.780726267030522,12.435162482593352,14.215888749623874,13.544462699992978,13.500538135054237,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,10,4,2019
2019-11-04,6.432436564972115,2.602,248522,1598602.0,848867.0,749735.0,52.0,4,0.0,0,9485403,3.2,27.8,1253.9109447502099,1.861353403480692,12.423286651787288,14.284640055267982,13.651657798133723,13.52747508974223,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,11,4,2019
2019-11-11,4.490372585632328,2.618,266167,1195189.0,590714.0,604475.0,53.0,4,0.0,0,9485403,3.2,27.8,1253.9109447502099,1.5019356795212855,12.491879210316464,13.993814889837749,13.289087253708562,13.312115591688812,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,11,4,2019
2019-11-18,5.930595261028704,2.681,259550,1539286.0,807951.0,731335.0,54.0,4,0.0,0,9485403,3.2,27.8,1253.9109447502099,1.7801245892582291,12.466704641255376,14.246829230513605,13.602256692099981,13.502626910089177,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,11,4,2019
2019-11-25,6.402894469674497,2.615,239353,1532552.0,810928.0,721624.0,55.0,4,0.0,0,9485403,3.2,27.8,1253.9109447502099,1.8567501490131362,12.38569472868821,14.242444877701347,13.605934549871602,13.489259506600972,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,11,4,2019
2019-12-02,5.550606347580321,2.565,271379,1506318.0,803894.0,702424.0,56.0,4,0.0,0,9485403,3.2,27.8,1253.9109447502099,1.7139071736070721,12.51127164682323,14.225178820430303,13.597222698673322,13.462292489284232,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,1,2019
2019-12-09,5.674108566444985,2.635,260283,1476874.0,786431.0,690443.0,57.0,4,0.0,0,9485403,3.2,27.8,1253.9109447502099,1.735913470226339,12.469524779591367,14.205438249817705,13.575260267180562,13.445088699546513,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,1,2019
