ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60631,48,11/22/2020,11/28/2020,131,1711,444,5794.3,1224,23533,4145,79694.5,0.1,0.1,4,55,13.5,186.3,29529,60631-2020-48,POINT (-87.813371 41.995019)
60628,24,06/07/2020,06/13/2020,27,1100,40,1648.6,810,7164,1214,10736.8,0.0,0.1,4,98,6.0,146.9,66724,60628-2020-24,POINT (-87.621537 41.694192)
60621,24,06/13/2021,06/19/2021,1,2414,3,8312.1,563,34613,1939,119182.6,0.0,0.1,1,90,3.4,309.9,29042,60621-2021-24,POINT (-87.638812 41.776931)
60621,25,06/20/2021,06/26/2021,1,2415,3,8315.5,643,35256,2214,121396.6,0.0,0.1,0,90,0.0,309.9,29042,60621-2021-25,POINT (-87.638812 41.776931)
60621,26,06/27/2021,07/03/2021,0,2415,0,8315.5,539,35795,1856,123252.5,0.0,0.1,0,90,0.0,309.9,29042,60621-2021-26,POINT (-87.638812 41.776931)
60621,27,07/04/2021,07/10/2021,5,2420,17,8332.8,637,36432,2193,125445.9,0.0,0.1,0,90,0.0,309.9,29042,60621-2021-27,POINT (-87.638812 41.776931)
60621,28,07/11/2021,07/17/2021,4,2424,14,8346.5,684,37116,2355,127801.1,0.0,0.1,0,90,0.0,309.9,29042,60621-2021-28,POINT (-87.638812 41.776931)
60626,5,01/31/2021,02/06/2021,48,3751,96,7542.7,3464,81052,6966,162984.1,0.0,0.0,0,154,0.0,309.7,49730,60626-2021-5,POINT (-87.669834 42.009469)
60626,50,12/12/2021,12/18/2021,212,5651,426,11363.4,5145,211968,10346,426237.7,0.0,0.0,1,179,2.0,359.9,49730,60626-2021-50,POINT (-87.669834 42.009469)
60626,51,12/19/2021,12/25/2021,480,6131,965,12328.6,5111,217079,10278,436515.2,0.1,0.0,1,180,2.0,362.0,49730,60626-2021-51,POINT (-87.669834 42.009469)
60626,52,12/26/2021,01/01/2022,794,6925,1597,13925.2,6709,223788,13491,450006,0.1,0.0,2,182,4.0,366.0,49730,60626-2021-52,POINT (-87.669834 42.009469)
60631,13,03/28/2021,04/03/2021,89,2996,301,10146,1192,44309,4037,150052.5,0.1,0.1,1,92,3.4,311.6,29529,60631-2021-13,POINT (-87.813371 41.995019)
60631,14,04/04/2021,04/10/2021,73,3069,247,10393.2,1317,45626,4460,154512.5,0.1,0.1,1,93,3.4,314.9,29529,60631-2021-14,POINT (-87.813371 41.995019)
60631,15,04/11/2021,04/17/2021,68,3137,230,10623.5,1192,46818,4037,158549.2,0.1,0.1,2,95,6.8,321.7,29529,60631-2021-15,POINT (-87.813371 41.995019)
60631,16,04/18/2021,04/24/2021,35,3172,118,10742,1132,47950,3834,162382.7,0.0,0.1,1,96,3.4,325.1,29529,60631-2021-16,POINT (-87.813371 41.995019)
60631,17,04/25/2021,05/01/2021,24,3196,81,10823.3,941,48891,3187,165569.4,0.0,0.1,0,96,0.0,325.1,29529,60631-2021-17,POINT (-87.813371 41.995019)
60631,18,05/02/2021,05/08/2021,31,3227,105,10928.2,1100,49991,3725,169294.6,0.0,0.1,1,97,3.4,328.5,29529,60631-2021-18,POINT (-87.813371 41.995019)
60631,19,05/09/2021,05/15/2021,21,3248,71,10999.4,782,50773,2648,171942.8,0.0,0.1,0,97,0.0,328.5,29529,60631-2021-19,POINT (-87.813371 41.995019)
60631,20,05/16/2021,05/22/2021,13,3261,44,11043.4,751,51524,2543,174486.1,0.0,0.1,0,97,0.0,328.5,29529,60631-2021-20,POINT (-87.813371 41.995019)
60631,21,05/23/2021,05/29/2021,10,3271,34,11077.2,632,52156,2140,176626.4,0.0,0.1,0,97,0.0,328.5,29529,60631-2021-21,POINT (-87.813371 41.995019)
