Trip Start Timestamp,Trips
11/24/2019,"282,842"
11/25/2019,"239,353"
11/26/2019,"273,506"
11/27/2019,"296,863"
11/28/2019,"205,538"
11/29/2019,"242,867"
11/30/2019,"310,896"
12/1/2019,"260,714"
12/2/2019,"271,379"
12/3/2019,"280,864"
12/4/2019,"294,488"
12/5/2019,"329,524"
12/6/2019,"399,837"
12/7/2019,"418,442"
12/8/2019,"296,037"
12/9/2019,"260,283"
12/10/2019,"290,100"
12/11/2019,"308,144"
12/12/2019,"334,928"
12/13/2019,"403,561"
12/14/2019,"437,057"
12/15/2019,"320,023"
12/16/2019,"261,836"
12/17/2019,"280,417"
12/18/2019,"312,601"
12/19/2019,"330,737"
12/20/2019,"370,303"
12/21/2019,"355,565"
12/22/2019,"273,452"
12/23/2019,"232,899"
12/24/2019,"180,808"
12/25/2019,"118,926"
12/26/2019,"187,503"
12/27/2019,"261,772"
12/28/2019,"292,073"
12/29/2019,"246,370"
12/30/2019,"255,999"
12/31/2019,"374,839"
1/1/2020,"304,614"
1/2/2020,"214,587"
1/3/2020,"268,757"
1/4/2020,"301,023"
1/5/2020,"231,293"
1/6/2020,"221,021"
1/7/2020,"228,907"
1/8/2020,"249,821"
1/9/2020,"264,996"
1/10/2020,"344,814"
1/11/2020,"368,311"
1/12/2020,"261,771"
1/13/2020,"254,140"
1/14/2020,"252,878"
1/15/2020,"271,510"
1/16/2020,"311,118"
1/17/2020,"339,103"
1/18/2020,"385,828"
1/19/2020,"318,617"
1/20/2020,"234,642"
1/21/2020,"254,942"
1/22/2020,"266,237"
1/23/2020,"293,290"
1/24/2020,"355,472"
1/25/2020,"375,378"
1/26/2020,"266,717"
1/27/2020,"242,171"
1/28/2020,"244,058"
1/29/2020,"255,182"
1/30/2020,"281,744"
1/31/2020,"341,933"
2/1/2020,"358,445"
2/2/2020,"290,259"
2/3/2020,"236,953"
2/4/2020,"248,463"
2/5/2020,"272,883"
2/6/2020,"298,707"
2/7/2020,"346,339"
2/8/2020,"373,556"
2/9/2020,"273,520"
2/10/2020,"246,152"
2/11/2020,"254,728"
2/12/2020,"279,621"
2/13/2020,"339,364"
2/14/2020,"434,950"
2/15/2020,"436,863"
2/16/2020,"335,814"
2/17/2020,"253,639"
2/18/2020,"253,849"
2/19/2020,"280,160"
2/20/2020,"317,052"
2/21/2020,"367,342"
2/22/2020,"383,050"
2/23/2020,"274,730"
2/24/2020,"248,933"
2/25/2020,"268,902"
2/26/2020,"290,960"
2/27/2020,"317,874"
2/28/2020,"381,117"
2/29/2020,"399,461"
3/1/2020,"288,872"
3/2/2020,"250,251"
3/3/2020,"256,751"
3/4/2020,"265,137"
3/5/2020,"290,173"
3/6/2020,"353,727"
3/7/2020,"371,954"
3/8/2020,"270,394"
3/9/2020,"254,365"
3/10/2020,"247,466"
3/11/2020,"252,835"
3/12/2020,"258,689"
3/13/2020,"294,185"
3/14/2020,"365,633"
3/15/2020,"200,115"
3/16/2020,"146,828"
3/17/2020,"103,921"
3/18/2020,"91,614"
3/19/2020,"86,224"
3/20/2020,"92,530"
3/21/2020,"70,609"
3/22/2020,"49,592"
3/23/2020,"51,552"
3/24/2020,"49,357"
3/25/2020,"50,529"
3/26/2020,"52,068"
3/27/2020,"59,866"
3/28/2020,"54,422"
3/29/2020,"45,139"
3/30/2020,"47,006"
3/31/2020,"47,923"
4/1/2020,"49,592"
4/2/2020,"49,062"
4/3/2020,"56,772"
4/4/2020,"50,585"
4/5/2020,"42,127"
4/6/2020,"43,945"
4/7/2020,"45,790"
4/8/2020,"45,941"
4/9/2020,"46,631"
4/10/2020,"53,529"
4/11/2020,"52,100"
4/12/2020,"44,148"
4/13/2020,"47,460"
4/14/2020,"47,044"
4/15/2020,"55,051"
4/16/2020,"55,726"
4/17/2020,"61,917"
4/18/2020,"56,671"
4/19/2020,"47,402"
4/20/2020,"53,163"
